access_level,age,content_level,frequency_level,gender,grade_level,hyperactive_result,inattentive_result,interactivity_level,oppositional_result,screen_access,text
0,11,0,1,0,6,0,2,1,0,1,List 3 things in the room that are your favorite color. Say them out loud!
1,10,1,1,0,5,2,0,0,0,1,"Stand up and stretch like a cat for 10 seconds. Reach high, then low!"
0,12,0,1,0,7,1,1,1,0,1,Close your eyes and name 5 things you can hear around you right now.
1,13,1,1,0,8,1,2,1,0,1,Whisper the alphabet backwards while walking heel-to-toe like a tightrope walker.
1,11,0,0,1,6,0,1,0,0,1,"Close your eyes and imagine your favorite place. What do you see, hear, and smell there?"
1,15,1,1,0,10,0,0,1,2,1,Squeeze a stress ball 10 times with each hand. Imagine squeezing out all the worries.
0,7,0,0,1,2,0,0,0,1,0,Make a silly face in the mirror and hold it for 5 seconds. Can you make yourself laugh?
0,6,1,0,0,1,1,0,0,0,0,Make a silly face in the mirror and hold it for 5 seconds. Repeat until you smile!
0,6,0,0,0,1,2,0,0,0,0,Walk like a penguin from one side of the room to the other. Waddle slowly!
0,15,0,0,1,10,0,0,0,1,1,"Write down one worry, then crumple the paper and throw it away like a basketball."
1,11,0,1,1,6,0,1,1,0,1,Hum your favorite song quietly for 20 seconds. Notice how it changes your mood!
1,10,1,1,1,5,0,2,0,0,1,Stand up and stretch like a cat for 10 seconds. Reach high and low!
0,14,0,0,0,9,1,1,0,0,0,March in place while singing 'Row Your Boat' at half speed. Notice how it feels!
1,8,1,1,0,3,2,0,0,0,1,"March in place for 30 seconds, lifting your knees high!"
0,9,0,0,1,4,0,2,1,0,0,Name 5 things that are the color blue around you. Take your time looking!
0,9,0,0,1,4,0,2,0,1,0,"Close your eyes and imagine your favorite place. What do you see, hear, and smell?"
1,11,0,1,1,6,0,0,0,1,1,Write a secret note to your future self about today. Hide it under your pillow!
0,10,0,0,0,5,1,0,0,1,0,"Tighten all your muscles for 5 seconds, then relax like a noodle. Repeat!"
1,13,1,1,1,8,0,0,1,2,1,"Rub your hands together fast to make warmth, then cup them over your eyes for 10 seconds."
1,12,0,1,1,7,0,1,0,1,1,Write down one thing you're grateful for today. It can be as small as a favorite snack!
1,10,1,1,1,5,1,2,1,0,1,Hum your favorite song while tapping the rhythm on your knees. Make it a duet!
0,15,0,0,1,10,0,1,0,1,1,Hum your favorite song quietly for 30 seconds. Notice how your breathing changes!
1,14,0,0,1,9,0,1,1,0,1,Write a short poem about your favorite animal. It can rhyme or not!
1,9,1,1,1,4,0,1,1,0,1,Count backwards from 10 like a rocket launch. Blast off when you reach 0!
0,9,0,0,1,4,0,1,0,1,0,Trace your hand on paper and write one strength in each finger. You're amazing!
0,6,0,0,1,1,2,0,0,0,0,"Walk like different animals: stomp like an elephant, tiptoe like a mouse, hop like a frog!"
1,13,0,1,1,8,0,2,1,0,1,"List 3 things you can see, 2 you can touch, and 1 you can hear right now."
0,10,0,0,0,5,1,0,0,1,0,Write down one thing you're proud of today. Fold it into a paper airplane and let it fly!
1,9,0,1,1,4,1,2,1,0,1,Blow on your palm like you're cooling soup. Focus on making your breath steady and slow.
0,10,0,1,0,5,0,2,1,0,1,Whisper the alphabet backwards starting from Z. How far can you get?
1,10,1,1,0,5,2,0,0,0,1,Balance on one foot for 15 seconds. Can you stay as still as a statue?
0,7,0,0,0,2,0,0,0,1,0,"Trace the outline of your hand on paper, then write one strength in each finger."
1,7,1,1,0,2,2,0,0,0,1,Walk like a penguin for 10 steps—keep your arms by your sides and take tiny waddles!
1,7,1,1,1,2,2,0,0,0,1,"Stand up and stretch like a cat! Reach high, then low, and wiggle your fingers."
1,9,0,1,1,4,0,2,0,0,1,"Name 3 things you can see, 2 you can touch, and 1 you can hear right now."
1,10,0,1,0,5,1,2,1,0,1,"Close your eyes and name 3 things you can hear, 2 things you can feel, and 1 thing you can smell."
1,11,1,1,0,6,2,0,0,0,1,"Squeeze a stress ball or pillow for 10 seconds, then relax. Repeat 3 times."
0,14,0,0,1,9,1,0,0,1,0,Create a secret handshake with yourself using 3 different moves. Practice until it's perfect!
0,10,0,0,0,5,2,1,0,0,0,Pretend you're a tree in the wind—sway gently side to side for 30 seconds.
0,7,1,1,0,2,2,0,0,1,0,Make a silly face in the mirror and hold it for 5 seconds. Can you make yourself laugh?
0,7,0,0,0,2,1,2,0,0,0,Trace the alphabet in the air with your finger. Go slowly and focus!
1,14,0,0,1,9,0,0,1,1,1,List 3 things you're good at. Say them out loud with confidence!
1,14,1,1,0,9,2,0,1,0,1,"Walk like a penguin across the room, keeping your arms at your sides. Focus on each step!"
1,12,1,1,1,7,1,2,1,0,1,Stand on one leg like a flamingo while spelling your name backwards. How long can you balance?
0,7,1,1,0,2,2,0,0,0,0,Jump like a frog 5 times! Can you land softly each time?
1,7,1,1,0,2,2,0,0,0,1,Do 5 star jumps! Spread your arms and legs wide like a star each time.
1,6,1,1,0,1,2,0,0,0,1,Jump in place 10 times like a bouncing ball! Then freeze like a statue.
0,8,0,1,0,3,2,0,1,0,1,Stand up and stretch like a cat waking up from a nap. Reach high and low!
0,13,0,0,1,8,0,0,0,2,0,Make a silly face in the mirror and hold it for 10 seconds. Notice how it changes your mood!
0,8,0,0,1,3,0,0,1,1,0,Make a silly face in the mirror and hold it for 5 seconds. Then laugh!
0,6,0,0,0,1,1,0,0,0,0,Draw a picture of how you're feeling right now. Use colors to show your emotions!
1,11,0,1,0,6,1,1,0,0,1,Count backwards from 20 slowly. Can you do it while balancing on one foot?
0,9,0,0,0,4,2,1,0,0,0,Balance a book on your head and walk in slow motion across the room. Pretend you're royalty!
1,8,1,1,1,3,2,0,1,0,1,Jump in place 10 times like you're popping popcorn. Land softly each time!
0,14,0,0,1,9,0,0,0,1,0,Write a secret message to your future self and hide it under your pillow.
1,12,0,0,1,7,0,1,1,0,1,Write down one thing you're grateful for today. It can be big or small!
1,9,1,1,1,4,1,2,1,0,1,Count backwards from 10 slowly. Imagine each number is a step down a staircase.
0,6,1,0,0,1,2,0,0,0,0,Jump in place 10 times like a bouncing bunny! Then freeze like a statue for 5 seconds.
0,11,0,0,0,6,0,1,0,1,0,"Fold a piece of paper into fourths. Draw a different emotion in each box: happy, sad, angry, calm."
0,6,0,0,0,1,1,1,0,0,0,Take 3 deep breaths like you're blowing up a balloon. Feel your belly rise and fall!
1,13,0,0,1,8,0,2,1,0,1,"Write down one small goal for today, like 'I'll finish my homework by 4pm.'"
1,12,1,1,0,7,0,0,0,1,1,Write a secret message to your future self using your non-dominant hand.
0,12,0,0,1,7,0,0,0,1,0,Trace your hand on paper and write one strength in each finger. You have 5 superpowers!
1,10,0,0,1,5,0,1,1,1,1,Hum your favorite song quietly for 30 seconds. Notice how it makes you feel.
0,8,0,0,1,3,1,1,0,0,0,Balance a book on your head and walk in a straight line. How far can you go?
0,12,0,0,1,7,0,2,1,0,0,Fold a piece of paper into an origami shape. Focus on each fold carefully.
0,10,0,0,0,5,0,0,0,1,0,Write down one thing you're grateful for today and put it in a 'happy jar'.
1,14,0,1,1,9,0,1,0,2,1,"Write down one small goal for today, like 'help someone' or 'try something new.'"
0,10,0,0,0,5,0,1,0,1,0,Fold a paper airplane and imagine it carrying away any worries when you throw it.
1,8,0,1,1,3,1,2,1,0,1,Count backward from 10 slowly. Imagine each number floating away like a balloon.
1,7,1,1,1,2,0,0,0,1,1,Draw a picture of how you feel right now. Use colors to show your emotions!
0,7,1,1,0,2,2,0,0,0,0,"Spin in a circle 3 times slowly, then stop and notice how you feel."
1,13,0,1,1,8,0,1,0,2,1,List 3 things you like about yourself out loud. Say them like you're cheering for a friend!
1,11,0,0,1,6,0,0,1,1,1,"Whisper a kind word to yourself, like 'I can do this!'"
0,6,0,0,0,1,2,0,0,0,0,Do 5 jumping jacks like a bouncing bunny! Then freeze like a statue for 10 seconds.
0,6,0,0,1,1,1,2,0,0,0,Close your eyes and count to 10 slowly. Imagine you're floating on a cloud!
0,8,0,0,0,3,1,1,1,0,0,Trace the shape of a star with your finger 3 times. Focus on the lines!
0,7,0,0,0,2,0,0,1,1,0,Draw a picture of how you're feeling right now. Use colors to show your emotions!
1,8,0,1,1,3,1,1,0,0,1,"Take a deep breath in for 4 seconds, hold for 4, then breathe out for 6. Repeat 3 times!"
1,11,1,1,1,6,0,2,1,0,1,Close your eyes and listen for 3 different sounds around you. What do you hear?
1,8,1,1,0,3,0,2,0,0,1,Stand up and stretch like a cat waking up from a nap. Reach high and low!
1,12,1,1,0,7,2,0,0,0,1,"Press your palms together hard for 5 seconds, then shake them out like wet noodles!"
1,11,1,0,1,6,0,2,0,0,1,Pretend you're a tree in the wind. Sway gently side to side for 30 seconds.
0,9,0,0,1,4,1,1,0,0,0,Press your palms together for 10 seconds like you're holding a butterfly. Feel the warmth!
0,6,0,0,0,1,2,1,0,0,0,Take 3 deep breaths and imagine blowing up a big balloon. Let it go slowly and watch it float away!
0,12,0,0,1,7,0,2,1,0,0,Fold a piece of paper into a simple origami shape. Focus on each fold!
1,12,0,0,0,7,1,1,1,0,1,Write down one thing you're grateful for today. It can be big or small!
0,7,0,0,0,2,1,0,1,0,0,Draw a picture of how you're feeling right now. Use colors to show your emotions!
1,13,1,1,0,8,0,2,1,0,1,"Rub your palms together fast to make heat, then cup them over your eyes for a warm, dark break."
1,9,1,1,0,4,1,1,0,0,1,Walk backwards slowly for 10 steps. Pay attention to your surroundings!
1,10,0,0,0,5,0,1,1,1,1,Whisper the names of all your family members slowly. Send them happy thoughts!
1,7,1,1,0,2,1,0,0,0,1,"Whisper a silly word 3 times, then laugh like it's the funniest thing ever!"
1,8,1,1,0,3,0,2,0,0,1,Find 5 blue things around you and touch each one gently. Notice their different textures.
1,15,0,1,0,10,0,2,1,0,1,Close your eyes and listen carefully. What's the farthest sound you can hear?
0,9,0,0,1,4,1,1,0,0,0,Hum your favorite song quietly for 20 seconds. Feel the vibrations!
1,8,1,1,1,3,2,1,1,0,1,"Take a deep breath in for 4 seconds, hold for 4 seconds, then breathe out for 4 seconds. Repeat 3 times!"
1,8,0,1,1,3,2,1,0,0,1,"Take a deep breath in for 4 seconds, hold for 4, then breathe out for 4. Repeat 3 times!"
1,8,1,1,0,3,1,2,0,0,1,Balance on one foot like a flamingo for 15 seconds. Can you stay still?
0,7,0,0,1,2,1,0,1,0,0,Draw a picture of how you're feeling right now. Use colors to show your emotions!
